Protein,p-value,BV- Avg Count,BV- Avg Transformed Abundance,BV- StDev,BV+ Avg Count,BV+ Avg Transformed Abundance,BV+ StDev,delta
Tax1-binding protein 3,0.001174921,0.222222222,3.17E-05,6.11E-05,0,0,0,-0.222222222
Heterogeneous nuclear ribonucleoprotein F,0.001174921,0.222222222,3.36E-05,6.48E-05,0,0,0,-0.222222222
Structural maintenance of chromosomes protein 3,0.001174921,0.222222222,3.40E-05,6.55E-05,0,0,0,-0.222222222
Cytochrome c,0.001174921,0.555555556,9.05E-05,0.000214725,0,0,0,-0.555555556
Surfeit locus protein 6,0.001174921,0.222222222,3.50E-05,6.76E-05,0,0,0,-0.222222222
Antigen peptide transporter 1,0.001174921,0.222222222,3.62E-05,6.97E-05,0,0,0,-0.222222222
Piwi-like protein 2,0.001174921,0.333333333,5.35E-05,0.000112325,0,0,0,-0.333333333
Ankyrin repeat domain-containing protein 17,0.001174921,0.222222222,3.32E-05,6.41E-05,0,0,0,-0.222222222
Growth/differentiation factor 7,0.001174921,0.222222222,3.32E-05,6.41E-05,0,0,0,-0.222222222
Alcohol dehydrogenase [NADP(+)],0.001174921,0.222222222,3.32E-05,6.41E-05,0,0,0,-0.222222222
Polypeptide N-acetylgalactosaminyltransferase 6,0.001174921,0.222222222,3.20E-05,6.16E-05,0,0,0,-0.222222222
Low-density lipoprotein receptor-related protein 1B,0.001174921,0.222222222,3.20E-05,6.16E-05,0,0,0,-0.222222222
Sentrin-specific protease 2,0.001174921,0.222222222,3.28E-05,6.33E-05,0,0,0,-0.222222222
E3 ubiquitin-protein ligase RBBP6,0.001174921,0.222222222,3.55E-05,6.91E-05,0,0,0,-0.222222222
Receptor tyrosine-protein kinase erbB-3,0.001174921,0.222222222,3.28E-05,6.33E-05,0,0,0,-0.222222222
Misshapen-like kinase 1,0.001174921,0.222222222,3.55E-05,6.91E-05,0,0,0,-0.222222222
Nesprin-2,0.001174921,0.222222222,3.74E-05,7.23E-05,0,0,0,-0.222222222
Prothymosin alpha,0.001174921,0.222222222,3.51E-05,6.75E-05,0,0,0,-0.222222222
High mobility group nucleosome-binding domain-containing protein 4,0.001174921,0.333333333,5.24E-05,0.000107511,0,0,0,-0.333333333
Protein FAM83E,0.001174921,0.222222222,3.51E-05,6.75E-05,0,0,0,-0.222222222
Endoplasmin,0.001205245,4.777777778,0.000703201,0.000514349,1.55,0.00028171,0.000324239,-3.227777778
Protein mab-21-like 4,0.001253855,2.666666667,0.000395156,0.00024091,0.95,0.000175919,0.000244361,-1.716666667
Glucose-6-phosphate isomerase,0.001269596,14,0.002087217,0.001085445,6.1,0.001272309,0.001211585,-7.9
Immunoglobulin heavy constant alpha 2,0.001271154,12.44444444,0.001875339,0.000608898,15.05,0.003323636,0.002015163,2.605555556
Peptidyl-prolyl cis-trans isomerase FKBP4,0.001287843,0.666666667,9.31E-05,0.000136737,0.05,1.05E-05,4.62E-05,-0.616666667
Kinesin-1 heavy chain,0.001287843,0.333333333,5.49E-05,8.03E-05,0.05,7.01E-06,3.09E-05,-0.283333333
60S ribosomal protein L35,0.001287843,0.444444444,6.93E-05,0.000107615,0.05,7.01E-06,3.09E-05,-0.394444444
STE20-like serine/threonine-protein kinase,0.00133299,1,0.000145986,0.000135645,0.2,4.59E-05,9.40E-05,-0.8
Histone H1.5,0.001402612,9.888888889,0.001514735,0.000861726,4.35,0.000901008,0.000741137,-5.538888889
Plastin-3,0.00148143,5.222222222,0.000751107,0.000399653,1.8,0.000360966,0.000332245,-3.422222222
Interleukin-36 alpha,0.001547667,2.888888889,0.00043412,0.000500731,0.75,0.000127077,0.0002671,-2.138888889
Neutral alpha-glucosidase AB,0.001547667,1.222222222,0.000175014,0.00016624,0.3,4.93E-05,9.16E-05,-0.922222222
Fructose-bisphosphate aldolase C,0.001576289,9.222222222,0.001382337,0.000859064,3.65,0.000727127,0.000533566,-5.572222222
Hemopexin,0.001576289,3.888888889,0.00058175,0.000569114,8.95,0.001967639,0.001922655,5.061111111
"Keratin, type I cytoskeletal 20",0.001583732,15.44444444,0.002285924,0.000473996,17.7,0.003972169,0.002105965,2.255555556
Trypsin-1,0.001583732,3.222222222,0.000498575,0.0002551,3.65,0.000878343,0.00052511,0.427777778
Keratin-like protein KRT222,0.001583732,5.111111111,0.000763792,0.000208285,5.9,0.001371935,0.000765778,0.788888889
60S ribosomal protein L5,0.001724896,1.888888889,0.000279604,0.000303166,0.7,0.000120523,0.000266699,-1.188888889
Heme oxygenase 1,0.001853085,0.888888889,0.000114965,0.000202394,0.05,7.01E-06,3.09E-05,-0.838888889
182 kDa tankyrase-1-binding protein,0.001853085,0.666666667,8.66E-05,0.000156548,0.05,7.01E-06,3.09E-05,-0.616666667
Serpin I2,0.001853085,0.555555556,8.26E-05,0.000126295,0.05,1.19E-05,5.25E-05,-0.505555556
Serpin B8,0.001853085,0.555555556,8.26E-05,0.000126295,0.05,1.19E-05,5.25E-05,-0.505555556
Serpin B9,0.001853085,0.555555556,8.26E-05,0.000126295,0.05,1.19E-05,5.25E-05,-0.505555556
Apolipoprotein C-I,0.001853085,1,0.000150115,0.000289471,0.05,1.05E-05,4.63E-05,-0.95
Cornifin-A,0.001889528,49.44444444,0.00745693,0.005850669,8.05,0.001455364,0.001632612,-41.39444444
Proteasome subunit alpha type-2,0.001935032,0.333333333,4.99E-05,0.000101622,1.05,0.000264251,0.000374388,0.716666667
Sulfhydryl oxidase 1,0.001935032,0.444444444,6.62E-05,0.000144712,1.6,0.000378255,0.000569366,1.155555556
Immunoglobulin heavy constant alpha 1,0.001964908,27.66666667,0.004186154,0.00125158,37.8,0.008168551,0.005437368,10.13333333
Tubulin alpha-8 chain,0.001964908,6.777777778,0.001015823,0.000416811,7.45,0.001744206,0.00100863,0.672222222
Inorganic pyrophosphatase,0.002114599,1.666666667,0.000240058,0.000238812,0.4,7.80E-05,0.000162511,-1.266666667
Immunoglobulin lambda variable 3-19,0.002212319,0.333333333,4.70E-05,6.90E-05,1.1,0.000260871,0.000287971,0.766666667
"ATP-dependent 6-phosphofructokinase, liver type",0.002273495,0.777777778,0.000122294,0.000148647,0.15,3.62E-05,0.000124941,-0.627777778
Heat shock 70 kDa protein 1-like,0.002427638,11.11111111,0.001660278,0.0003526,6.1,0.00124393,0.000636056,-5.011111111
Complement C3,0.002427638,40.55555556,0.00607951,0.008900043,42.85,0.009919049,0.009562323,2.294444444
Tubulin alpha-1A chain,0.002427638,12.22222222,0.001807262,0.000375312,11.55,0.002616356,0.001169147,-0.672222222
V-type proton ATPase catalytic subunit A,0.002473606,0,0,0,0.65,0.000164223,0.000280804,0.65
Proteasome subunit alpha type-3,0.002473606,0,0,0,0.45,0.000152166,0.000303749,0.45
Kallikrein-14,0.002473606,0,0,0,1.75,0.000292788,0.000611565,1.75
40S ribosomal protein S28,0.002635526,0.666666667,0.000102332,0.000180215,0.1,1.56E-05,6.89E-05,-0.566666667
Pyridoxal kinase,0.002635526,0.333333333,4.52E-05,6.61E-05,0.05,7.01E-06,3.09E-05,-0.283333333
Putative protein FAM10A4,0.002635526,0.555555556,8.09E-05,0.000151258,0.05,7.01E-06,3.09E-05,-0.505555556
Hsc70-interacting protein,0.002635526,0.555555556,8.09E-05,0.000151258,0.05,7.01E-06,3.09E-05,-0.505555556
Serine protease inhibitor Kazal-type 7,0.002635526,0.444444444,6.89E-05,0.000119495,0.05,8.81E-06,3.89E-05,-0.394444444
"KH domain-containing, RNA-binding, signal transduction-associated protein 1",0.002635526,0.444444444,6.74E-05,0.000108419,0.05,1.25E-05,5.52E-05,-0.394444444
Serum paraoxonase/arylesterase 1,0.002635526,0.555555556,8.49E-05,0.000152735,0.1,2.10E-05,9.25E-05,-0.455555556
Heterogeneous nuclear ribonucleoprotein M,0.002703503,4.222222222,0.000637253,0.000564152,1.35,0.000245573,0.000316639,-2.872222222
Rho GDP-dissociation inhibitor 2,0.002703503,2.888888889,0.000442653,0.000381841,1.6,0.00033852,0.000665991,-1.288888889
Catenin delta-1,0.002730378,1,0.000151688,0.000172541,0.25,4.16E-05,8.71E-05,-0.75
Cytochrome b-245 heavy chain,0.002838214,0.111111111,1.74E-05,5.05E-05,0.9,0.000204755,0.000272446,0.788888889
Putative heat shock protein HSP 90-beta-3,0.002983755,3,0.000451369,0.000120375,3.3,0.000724265,0.000442136,0.3
Junction plakoglobin,0.002986839,63.55555556,0.009294019,0.003003018,63.95,0.013171207,0.005279098,0.394444444
Mucin-5B,0.002986839,6.777777778,0.000947994,0.000785549,22.25,0.004020171,0.008378646,15.47222222
14-3-3 protein beta/alpha,0.002986839,17.11111111,0.002581709,0.000582277,9.9,0.002113143,0.000850158,-7.211111111
Protein S100-A11,0.002986839,13.33333333,0.00199291,0.000783368,5.65,0.001488777,0.001522737,-7.683333333
"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",0.003067891,0.555555556,8.81E-05,0.000156605,1.3,0.000303746,0.000326055,0.744444444
Peptidyl-prolyl cis-trans isomerase A-like 4F,0.003255471,0.888888889,0.00013333,0.000169881,0.15,2.35E-05,5.69E-05,-0.738888889
Peptidyl-prolyl cis-trans isomerase A-like 4H,0.003255471,0.888888889,0.00013333,0.000169881,0.15,2.35E-05,5.69E-05,-0.738888889
Peptidyl-prolyl cis-trans isomerase A-like 4A,0.003255471,0.888888889,0.00013333,0.000169881,0.15,2.35E-05,5.69E-05,-0.738888889
Peptidyl-prolyl cis-trans isomerase A-like 4C,0.003255471,0.888888889,0.00013333,0.000169881,0.15,2.35E-05,5.69E-05,-0.738888889
Peptidyl-prolyl cis-trans isomerase A-like 4D,0.003255471,0.888888889,0.00013333,0.000169881,0.15,2.35E-05,5.69E-05,-0.738888889
ATP-dependent RNA helicase DDX3Y,0.003427099,0.666666667,9.84E-05,0.000129903,1.05,0.000252024,0.000205132,0.383333333
60S ribosomal protein L10,0.003503673,1.777777778,0.000250819,0.000279565,0.5,9.00E-05,0.000196219,-1.277777778
Thiosulfate sulfurtransferase,0.003609164,1,0.000150361,0.000150855,0.3,8.81E-05,0.0002019,-0.7
Serine/threonine-protein phosphatase PP1-beta catalytic subunit,0.003609164,0.111111111,2.01E-05,5.84E-05,0.8,0.000238983,0.000396757,0.688888889
Immunoglobulin J chain,0.003645135,2.222222222,0.000338403,0.000292965,3.4,0.000713486,0.000598727,1.177777778
Pyruvate kinase PKM,0.003659573,51.44444444,0.007740263,0.002640291,25,0.004983421,0.003671383,-26.44444444
Galectin-7,0.003659573,26.55555556,0.003990748,0.001073566,32.35,0.006650722,0.003378588,5.794444444
Tubulin alpha-1B chain,0.003659573,14.33333333,0.00213744,0.000490959,13.5,0.002993842,0.001354741,-0.833333333
Myosin regulatory light chain 12A,0.003659573,3.222222222,0.000494183,0.000232384,3.75,0.000797451,0.000403375,0.527777778
Myosin regulatory light chain 12B,0.003659573,3.222222222,0.000494183,0.000232384,3.75,0.000797451,0.000403375,0.527777778
Cofilin-1,0.003659573,14.66666667,0.002207441,0.000817443,7.75,0.001575397,0.000818585,-6.916666667
Heterogeneous nuclear ribonucleoprotein U-like protein 2,0.003705101,0.333333333,4.52E-05,6.61E-05,0.05,7.80E-06,3.44E-05,-0.283333333
Beta/gamma crystallin domain-containing protein 1,0.003705101,0.333333333,4.97E-05,7.38E-05,0.05,9.46E-06,4.18E-05,-0.283333333
Lactoylglutathione lyase,0.003705101,0.333333333,4.70E-05,6.90E-05,0.05,1.25E-05,5.52E-05,-0.283333333
"Spectrin beta chain, erythrocytic",0.003705101,4.555555556,0.000697464,0.001415686,1.25,0.000311759,0.001376239,-3.305555556
"Solute carrier family 2, facilitated glucose transporter member 1",0.003705101,0.555555556,8.38E-05,0.000129397,0.2,5.00E-05,0.000220598,-0.355555556
Secreted Ly-6/uPAR-related protein 1,0.003705101,0.333333333,5.13E-05,7.48E-05,0.1,1.56E-05,6.89E-05,-0.233333333
Probable ATP-dependent RNA helicase DDX17,0.003705101,0.333333333,4.94E-05,7.21E-05,0.05,1.18E-05,5.21E-05,-0.283333333
Thioredoxin,0.004343252,1.888888889,0.000271994,0.000293291,0.45,9.03E-05,0.000149499,-1.438888889
Serpin B13,0.004448417,9.333333333,0.001367019,0.000911631,3.8,0.000719515,0.000648781,-5.533333333
Interleukin-1 receptor antagonist protein,0.00446103,14.22222222,0.002187848,0.000968614,6.3,0.001285368,0.001407904,-7.922222222
"Keratin, type II cytoskeletal 78",0.004465239,39.22222222,0.005804478,0.002015731,37.85,0.008179381,0.003126204,-1.372222222
Sciellin,0.004465239,30.11111111,0.004588615,0.002855005,12.55,0.002649539,0.001373525,-17.56111111
Elongation factor 1-alpha 2,0.004465239,16.33333333,0.002464069,0.000554694,14.95,0.003301872,0.001232562,-1.383333333
"Keratin, type I cytoskeletal 12",0.004465239,18.22222222,0.002656619,0.004109326,14.9,0.003424172,0.005401368,-3.322222222
Histone H1.2,0.004465239,13,0.002006732,0.000960455,6.35,0.001331465,0.000695548,-6.65
Immunoglobulin kappa variable 3-20,0.004465239,6.888888889,0.001094859,0.000806409,7.05,0.001724848,0.001070825,0.161111111
Immunoglobulin lambda variable 3-21,0.004562615,0.888888889,0.000137104,0.000173608,1.4,0.000376628,0.000364373,0.511111111
Lamin-B1,0.005072957,1.333333333,0.000209087,0.000171,0.6,0.000112637,0.000178557,-0.733333333
Apolipoprotein L1,0.005346833,0.444444444,6.35E-05,7.37E-05,0.15,3.58E-05,0.000117911,-0.294444444
Tripartite motif-containing protein 16,0.005346833,0.444444444,7.12E-05,8.25E-05,0.1,2.03E-05,6.18E-05,-0.344444444
Transmembrane emp24 domain-containing protein 10,0.005346833,0,0,0,0.35,7.91E-05,0.000141664,0.35
Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,0.005382391,1.777777778,0.000259989,0.000187435,0.6,0.000115427,0.000129144,-1.177777778
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,0.005382391,1.777777778,0.000259989,0.000187435,0.6,0.000115427,0.000129144,-1.177777778
Immunoglobulin kappa variable 4-1,0.00542575,3.777777778,0.000571729,0.000285757,5.15,0.001313245,0.001130607,1.372222222
40S ribosomal protein S19,0.005515384,1,0.000142031,0.000183949,0.25,3.99E-05,9.98E-05,-0.75
IgGFc-binding protein,0.005538966,4.666666667,0.00069539,0.001022558,18.25,0.003633962,0.005131454,13.58333333
"40S ribosomal protein S4, X isoform",0.005663432,1.555555556,0.000232043,0.000261007,0.6,9.66E-05,0.000260383,-0.955555556
Calponin-2,0.005663432,1.222222222,0.000190561,0.000214322,0.4,8.29E-05,0.000221822,-0.822222222
Proteasome subunit alpha type-6,0.006101003,1,0.000152032,0.000152316,1.75,0.000430145,0.000468728,0.75
Ribosome-binding protein 1,0.006254164,5.888888889,0.000872809,0.000705053,2.25,0.000441772,0.000403909,-3.638888889
Puromycin-sensitive aminopeptidase,0.006543219,5.333333333,0.00078808,0.000355249,2.7,0.000558572,0.000400652,-2.633333333
Major vault protein,0.006976687,2.111111111,0.00030364,0.000203435,0.8,0.000155213,0.000208429,-1.311111111
Zinc-alpha-2-glycoprotein,0.006976687,1,0.000149034,0.000288264,2.7,0.00063152,0.000976786,1.7
60S ribosomal protein L14,0.007065415,3.444444444,0.000503913,0.000612372,0.6,0.000116227,0.00016325,-2.844444444
Mucin-5AC,0.007134345,0.111111111,1.64E-05,4.77E-05,1.5,0.000268113,0.000804617,1.388888889
Ras-related protein Rap-1A,0.007134345,0.111111111,1.63E-05,4.74E-05,0.55,0.000159745,0.00023368,0.438888889
Ras-related protein Rap-1b,0.007134345,0.111111111,1.63E-05,4.74E-05,0.6,0.000171927,0.000244122,0.488888889
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,0.007134345,0.111111111,1.74E-05,5.05E-05,0.55,0.000112299,0.00015834,0.438888889
Short-chain dehydrogenase/reductase family 9C member 7,0.007169187,0.222222222,2.67E-05,7.77E-05,0.9,0.000179054,0.00027531,0.677777778
Polymeric immunoglobulin receptor,0.007205393,9,0.00132255,0.001326363,18.05,0.003503515,0.003495008,9.05
"Splicing factor, proline- and glutamine-rich",0.007365081,0.777777778,0.000107509,0.000157317,0.1,2.15E-05,6.79E-05,-0.677777778
Cytoskeleton-associated protein 4,0.007378633,4.777777778,0.000709153,0.000318953,2.7,0.000486695,0.000592585,-2.077777778
Alpha-actinin-2,0.007378633,3,0.000452079,0.000180973,1.45,0.000290606,0.000313277,-1.55
Actin-related protein 2,0.007488734,1.777777778,0.000265061,0.000188435,0.75,0.000139848,0.000151964,-1.027777778
Guanine nucleotide-binding protein subunit alpha-13,0.007488734,1.333333333,0.00020029,0.000124883,0.6,0.000128975,0.000172316,-0.733333333
Guanine nucleotide-binding protein G(olf) subunit alpha,0.007488734,1.333333333,0.00020029,0.000124883,0.6,0.000128975,0.000172316,-0.733333333
Guanine nucleotide-binding protein G(o) subunit alpha,0.007488734,1.333333333,0.00020029,0.000124883,0.6,0.000128975,0.000172316,-0.733333333
Ceruloplasmin,0.0075548,8.888888889,0.001339956,0.001875664,9.7,0.002258705,0.001960161,0.811111111
Vinculin,0.00778394,3.222222222,0.000487662,0.000355615,1.25,0.000260968,0.000239194,-1.972222222
Profilin-1,0.007906059,12.66666667,0.001928697,0.001183689,5.6,0.001187012,0.001010955,-7.066666667
Actin-related protein 3,0.007906059,4.555555556,0.00067165,0.000346006,2.1,0.000450476,0.000321703,-2.455555556
Putative annexin A2-like protein,0.007912509,56.88888889,0.008592627,0.002460322,27.45,0.006349213,0.004226723,-29.43888889
SH3 domain-binding glutamic acid-rich-like protein 3,0.007912509,8.666666667,0.001301498,0.000407563,4.2,0.000922851,0.000592901,-4.466666667
Isocitrate dehydrogenase [NADP] cytoplasmic,0.008233023,1.666666667,0.000244078,0.000251536,0.7,0.000116218,0.000198328,-0.966666667
Annexin A7,0.008932501,0.111111111,1.74E-05,5.05E-05,0.45,0.000117156,0.000179337,0.338888889
"Complement component 1 Q subcomponent-binding protein, mitochondrial",0.009074349,0.666666667,0.000105921,0.000135602,0.15,3.30E-05,8.14E-05,-0.516666667
60S ribosomal protein L27a,0.009074349,0.666666667,0.000103361,0.000153756,0.2,3.86E-05,0.000111029,-0.466666667
UMP-CMP kinase,0.009087993,5.888888889,0.000871549,0.000388116,2.7,0.000509875,0.000519106,-3.188888889
Alpha-2-macroglobulin-like protein 1,0.009496532,56.11111111,0.008277306,0.002801877,56.2,0.013875304,0.011185828,0.088888889
Histone H1.3,0.009496532,11.66666667,0.001785313,0.000733001,6.5,0.001370291,0.000738082,-5.166666667
Serine protease inhibitor Kazal-type 5,0.009496532,29.66666667,0.004497418,0.003358352,15,0.002973033,0.002795701,-14.66666667
Immunoglobulin kappa variable 3D-15,0.009496532,3.111111111,0.00047805,0.000198408,3.75,0.000845291,0.000541924,0.638888889
Immunoglobulin kappa variable 3D-20,0.009496532,3.555555556,0.000543486,0.000319976,3.65,0.000824033,0.000442384,0.094444444
Nucleophosmin,0.010365605,4.333333333,0.000639872,0.000524922,1.25,0.000276714,0.000326966,-3.083333333
"Keratin, type I cytoskeletal 18",0.010470698,2.111111111,0.000317585,0.000337971,0.7,0.000126989,0.000184703,-1.411111111
Non-histone chromosomal protein HMG-17,0.01065773,13.11111111,0.002048995,0.001231223,8.4,0.001868193,0.003129756,-4.711111111
Cytosol aminopeptidase,0.011009091,1.111111111,0.000169928,0.000188171,0.4,7.08E-05,0.000131218,-0.711111111
Myosin regulatory light polypeptide 9,0.011115971,0.111111111,1.74E-05,5.05E-05,0.5,9.55E-05,0.000137357,0.388888889
"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",0.011135499,0,0,0,0.45,8.93E-05,0.000165355,0.45
Actin-related protein 2/3 complex subunit 2,0.011135499,0,0,0,0.4,8.75E-05,0.00018326,0.4
Protein S100-A16,0.011267748,6.444444444,0.000956234,0.000655731,7.9,0.00183036,0.00138869,1.455555556
Tripartite motif-containing protein 29,0.01131776,15.88888889,0.002341986,0.001227346,7.6,0.001451388,0.001237175,-8.288888889
Annexin A2,0.011351146,85.22222222,0.012908418,0.004307088,43.2,0.009942103,0.006400461,-42.02222222
"Keratin, type II cytoskeletal 75",0.011351146,96.66666667,0.014189047,0.005397681,93,0.01958064,0.008091626,-3.666666667
40S ribosomal protein S11,0.011513265,0.555555556,8.36E-05,0.000109817,0.2,3.45E-05,8.76E-05,-0.355555556
Collagen alpha-2(I) chain,0.011513265,2.555555556,0.000376644,0.000703506,0.4,8.11E-05,0.000206771,-2.155555556
T-complex protein 1 subunit delta,0.012562504,1.555555556,0.000225098,0.00015775,0.75,0.000138174,0.000200176,-0.805555556
Cytosolic non-specific dipeptidase,0.012720609,0.666666667,9.09E-05,0.000144094,0.2,2.96E-05,9.01E-05,-0.466666667
Plasminogen activator inhibitor 1 RNA-binding protein,0.01272892,2.555555556,0.000388245,0.00022572,1.05,0.000223994,0.000226028,-1.505555556
Transmembrane protease serine 11D,0.013475092,4,0.000614809,0.000387346,5.85,0.001321296,0.001078757,1.85
Serotransferrin,0.013512777,41,0.006141539,0.003692547,49.75,0.011483069,0.008470808,8.75
Protein S100-A14,0.013512777,9.111111111,0.001353094,0.000323851,9.55,0.002069641,0.001151001,0.438888889
Immunoglobulin alpha-2 heavy chain,0.013512777,13.11111111,0.001976846,0.000626844,14.3,0.003174285,0.001986043,1.188888889
Guanine nucleotide-binding protein G(t) subunit alpha-3,0.013746445,1.333333333,0.00020029,0.000124883,0.65,0.000140784,0.000171132,-0.683333333
Guanine nucleotide-binding protein G(t) subunit alpha-1,0.013746445,1.333333333,0.00020029,0.000124883,0.65,0.000140784,0.000171132,-0.683333333
Guanine nucleotide-binding protein G(t) subunit alpha-2,0.013746445,1.333333333,0.00020029,0.000124883,0.65,0.000140784,0.000171132,-0.683333333
Guanine nucleotide-binding protein G(i) subunit alpha-1,0.013746445,1.333333333,0.00020029,0.000124883,0.65,0.000140784,0.000171132,-0.683333333
Glial fibrillary acidic protein,0.013746445,1.111111111,0.000176219,0.00027596,1.65,0.000369648,0.000324786,0.538888889
T-complex protein 1 subunit theta,0.013769684,1.444444444,0.000208551,0.000145697,0.6,0.000114961,0.000166663,-0.844444444
"Cytochrome c oxidase subunit 5A, mitochondrial",0.013769684,2.222222222,0.000337444,0.000280229,0.85,0.000234089,0.000381403,-1.372222222
Ras-related protein Rab-8B,0.013824164,0.333333333,4.63E-05,6.78E-05,0.65,0.000152319,0.000177287,0.316666667
Ras-related protein Rab-35,0.013824164,0.333333333,4.63E-05,6.78E-05,0.65,0.000152319,0.000177287,0.316666667
Ras-related protein Rab-8A,0.013824164,0.333333333,4.63E-05,6.78E-05,0.65,0.000152319,0.000177287,0.316666667
Ras-related protein Rab-15,0.013824164,0.333333333,4.63E-05,6.78E-05,0.65,0.000152319,0.000177287,0.316666667
Tropomodulin-3,0.014902021,1.111111111,0.000169755,0.000160311,0.45,9.57E-05,0.00018238,-0.661111111
40S ribosomal protein S3a,0.015139645,5.555555556,0.000795682,0.000671989,2.25,0.000443315,0.000499584,-3.305555556
Niban-like protein 1,0.015139645,3.888888889,0.000578044,0.000381096,1.55,0.000343857,0.000396053,-2.338888889
60S ribosomal protein L7a,0.015600748,2.444444444,0.000370579,0.000220291,1.3,0.00024505,0.000295801,-1.144444444
ADP-ribosylation factor 6,0.01582816,1.333333333,0.000209119,0.000229147,0.4,8.36E-05,0.000142905,-0.933333333
Cysteine-rich secretory protein 3,0.015915183,8.333333333,0.001265478,0.001315901,10.5,0.002350882,0.001675661,2.166666667
Ras-related protein Rab-10,0.015915183,2.222222222,0.000316619,0.000243584,2.4,0.000534731,0.000396613,0.177777778
Heat shock 70 kDa protein 6,0.01602088,8.222222222,0.001249775,0.000360577,4.6,0.000921648,0.000507442,-3.622222222
Heat shock-related 70 kDa protein 2,0.01602088,12,0.001814882,0.000485708,6.45,0.001381645,0.000651611,-5.55
60S ribosomal protein L28,0.016483632,0.777777778,0.00011299,0.000208208,0.15,2.18E-05,6.92E-05,-0.627777778
Ras-related protein Rab-2A,0.016483632,0.666666667,0.000101231,0.000162249,0.1,2.90E-05,8.93E-05,-0.566666667
Bisphosphoglycerate mutase,0.016483632,1.444444444,0.000214159,0.000421391,0.5,0.000122866,0.000495853,-0.944444444
Glutamine synthetase,0.016485568,8.888888889,0.001361806,0.001194441,4.9,0.00086876,0.001368241,-3.988888889
"Acetyl-CoA acetyltransferase, cytosolic",0.016526636,1.444444444,0.000209903,0.000241844,0.5,8.60E-05,0.000157866,-0.944444444
Guanine nucleotide-binding protein subunit beta-4,0.016850724,0.111111111,1.74E-05,5.05E-05,0.4,8.30E-05,0.000120105,0.288888889
Tropomodulin-2,0.017849545,0.111111111,1.34E-05,3.89E-05,0,0,0,-0.111111111
Ubiquitin thioesterase OTU1,0.017849545,0.222222222,2.67E-05,7.77E-05,0,0,0,-0.222222222
Structural maintenance of chromosomes protein 2,0.017849545,0.222222222,2.67E-05,7.77E-05,0,0,0,-0.222222222
"Serine hydroxymethyltransferase, cytosolic",0.017849545,0.222222222,2.67E-05,7.77E-05,0,0,0,-0.222222222
Progesterone receptor,0.017849545,0.111111111,1.34E-05,3.89E-05,0,0,0,-0.111111111
Transcription initiation factor TFIID subunit 1,0.017849545,0.111111111,1.64E-05,4.77E-05,0,0,0,-0.111111111
Thioredoxin domain-containing protein 17,0.017849545,0.222222222,3.25E-05,9.47E-05,0,0,0,-0.222222222
Stress-induced-phosphoprotein 1,0.017849545,0.222222222,3.25E-05,9.47E-05,0,0,0,-0.222222222
Guanylate-binding protein 5,0.017849545,0.111111111,1.63E-05,4.74E-05,0,0,0,-0.111111111
Guanylate-binding protein 1,0.017849545,0.111111111,1.63E-05,4.74E-05,0,0,0,-0.111111111
Peptidyl-prolyl cis-trans isomerase A-like 4G,0.017849545,0.111111111,1.63E-05,4.74E-05,0,0,0,-0.111111111
Zinc finger and BTB domain-containing protein 37,0.017849545,0.111111111,1.85E-05,5.39E-05,0,0,0,-0.111111111
DNA ligase 3,0.017849545,0.111111111,1.55E-05,4.50E-05,0,0,0,-0.111111111
15-hydroxyprostaglandin dehydrogenase [NAD(+)],0.017849545,0.666666667,0.0001203,0.000350124,0,0,0,-0.666666667
Zinc finger protein 468,0.017849545,0.111111111,1.65E-05,4.81E-05,0,0,0,-0.111111111
Lymphocyte-specific protein 1,0.017849545,0.333333333,5.21E-05,0.000151515,0,0,0,-0.333333333
Dermokine,0.017849545,0.333333333,5.21E-05,0.000151515,0,0,0,-0.333333333
Fermitin family homolog 3,0.017849545,0.111111111,1.74E-05,5.05E-05,0,0,0,-0.111111111
Talin-2,0.017849545,0.111111111,1.74E-05,5.05E-05,0,0,0,-0.111111111
Prohibitin,0.017849545,0.222222222,3.54E-05,0.000103069,0,0,0,-0.222222222
Coiled-coil domain-containing protein 88B,0.017849545,0.222222222,3.54E-05,0.000103069,0,0,0,-0.222222222
Envoplakin-like protein,0.018234125,1,0.000156174,0.000132377,0.35,7.06E-05,0.000103196,-0.65
Protein FAM25E,0.018623583,0.777777778,0.000104027,0.00022872,0.05,8.81E-06,3.89E-05,-0.727777778
Eukaryotic translation initiation factor 3 subunit F,0.018623583,0.666666667,0.000100874,0.000194318,0.05,8.69E-06,3.84E-05,-0.616666667
Mucin-4,0.018623583,0.444444444,6.80E-05,0.000130974,0.05,1.08E-05,4.78E-05,-0.394444444
Serine protease 27,0.018623583,0.444444444,7.32E-05,0.000158274,0.05,7.80E-06,3.44E-05,-0.394444444
Cofilin-2,0.018799846,5.555555556,0.000824317,0.000405284,2.5,0.000515861,0.000373846,-3.055555556
Histone H1.1,0.018906051,7.333333333,0.001127567,0.000486119,3.95,0.000843612,0.00063006,-3.383333333
